FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_,aug_trigger_class,aug_trigger_confidence,aug_severity_class,aug_exposure_context,aug_uncertainty_label,aug_missing_fields_count,aug_missing_fields,aug_failure_process_narrative,aug_planning_summary
0,1, , , , , , ,Cox's Bazar,1,Flow,2015, ,0,0, ,1020, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
1,2, , , , , , ,Cox's Bazar,2,Flow,2015, ,0,0, ,1433, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
2,3, , , , , , ,Cox's Bazar,3,Flow,2015, ,0,0, ,451, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
3,4, , , , , , ,Cox's Bazar,4,Flow,2015, ,0,0, ,1471, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
4,5, , , , , , ,Cox's Bazar,5,Flow,2015, ,0,0, ,663, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Flow process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed flow record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
5,6, , , , , , ,Cox's Bazar,6,Slide,2015, ,0,0, ,1145, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
6,7, , , , , , ,Cox's Bazar,7,Slide,2015, ,0,0, ,1356, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
7,8, , , , , , ,Cox's Bazar,8,Slide,2015, ,0,0, ,1745, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
8,9, , , , , , ,Cox's Bazar,9,Slide,2015, ,0,0, ,993, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
9,10, , , , , , ,Cox's Bazar,10,Slide,2015, ,0,0, ,1683, ,Unknown,Low,Moderate,Unspecified exposure context,High uncertainty,9,"Location, State, Water_Cont, Material, Damae_Int2, Economic, Distri_, Dam_Int1, Triggers_",Slide process involving unspecified material under unrecorded moisture condition with unknown as the interpreted trigger context.,Observed slide record in Cox's Bazar; use as an empirical event with GPT generated descriptors only for interpretation and planning support.
